V1, V2
434,3753
444,1488
444,1374
444,3162
445,1595
446,1597
446,1290
447,2109
448,1488
448,1374
448,3162
451,1012
452,1626
453,1288
453,2142
454,1426
454,1234
454,1393
455,1135
455,1471
455,1722
464,1600
481,3546
481,3109
483,3546
483,3109
484,3546
484,3109
485,3546
485,3109
486,3546
486,3109
487,3239
487,2142
487,1518
487,1056
487,1090
488,1282
488,1660
488,1196
488,1106
488,1125
488,2457
488,1660
488,1196
488,1125
488,3478
488,2307
490,1552
490,2531
490,3340
490,1204
490,1245
490,1801
490,1822
490,1794
493,1020
494,3546
494,3109
495,3546
495,3109
497,3546
497,3109
501,3282
501,3885
501,2645
501,3013
503,1246
504,1169
505,1246
510,1750
514,1391
514,2521
518,1246
519,3687
519,1825
520,1246
520,1098
522,3546
522,3109
523,3546
523,3109
524,3416
524,3687
524,1737
525,3546
525,3109
558,3546
558,3109
560,3546
560,3109
561,3546
561,3109
562,3546
562,3109
564,3546
564,3109
565,3546
565,3109
566,3546
566,3109
567,3546
567,3109
568,3546
568,3109
570,3152
570,1731
571,1681
571,1298
572,1640
572,1562
572,1728
572,1269
572,1441
572,3509
572,1410
573,1679
573,3562
573,1432
573,1080
576,1179
587,1468
587,3476
587,1591
587,1394
592,1881
592,3485
592,3795
592,2182
592,1827
592,3438
593,1474
593,1378
594,1362
594,1063
594,1748
599,1617
599,1015
599,1775
602,1773
602,1789
605,3611
606,1762
606,1456
608,1232
608,1231
609,2068
609,1702
609,1085
609,1457
609,2801
609,2877
609,2120
609,1704
610,1630
610,1630
611,2068
611,3724
611,2068
611,1048
611,1702
611,1085
611,1457
611,2801
611,2877
611,2120
611,1704
612,1375
612,1751
612,3177
612,1462
612,3060
613,1503
613,1503
613,1926
613,1522
613,1202
613,1272
614,1539
615,1085
615,1757
615,1809
615,1826
615,1809
615,1841
615,1524
615,2741
615,3191
615,1694
615,2741
616,1677
616,1836
616,1602
616,1602
619,1475
620,1115
620,1170
620,1881
620,1099
623,1444
624,3251
624,3528
624,3251
624,3489
624,1453
624,3742
624,2549
624,3528
624,3290
624,1451
624,1512
624,3072
624,1309
624,2232
624,3083
624,2232
624,3072
624,3702
624,1512
624,3702
624,3397
628,1055
628,1122
629,3844
629,1823
629,1823
629,3177
629,1369
629,1908
629,3177
629,3177
629,2076
629,3177
629,2987
629,2074
629,1535
629,3176
629,3105
629,3105
638,1396
639,1267
641,1953
642,1593
643,3546
643,3109
644,1848
645,3546
645,3109
646,3546
646,3109
650,1064
651,1296
654,3546
654,3109
655,3546
655,3109
656,3546
656,3109
657,3546
657,3109
658,2487
658,1198
660,3546
660,3109
661,3546
661,3109
662,3546
662,3109
663,3546
663,3109
664,3546
664,3109
665,3546
665,3109
666,3546
666,3109
667,1690
668,1481
668,1283
669,3546
669,3109
670,3546
670,3109
671,3546
671,3109
672,3546
672,3109
673,3546
673,3109
674,3546
674,3109
675,1166
675,2782
675,3546
675,3109
676,3546
676,3109
678,3546
678,3109
679,3546
679,3109
680,3546
680,3109
681,3546
681,3109
683,3546
683,3109
685,1294
685,1192
685,1074
685,3546
685,3109
686,3546
686,3109
689,3546
689,3109
691,3546
691,3109
692,3546
692,3109
693,3546
693,3109
694,3546
694,3109
695,1753
696,2936
696,2290
696,2335
696,1592
696,1840
696,1764
696,1303
700,1307
701,1014
703,2119
703,1188
704,1726
704,3334
704,1574
705,3546
705,3109
707,1411
707,2923
707,1060
707,1406
707,2472
707,1463
707,3358
707,2801
707,1857
708,3546
708,3109
711,2439
713,1406
713,1998
713,1367
714,3345
714,1828
714,3453
714,2890
715,2923
715,1060
716,3699
716,1238
716,1741
716,1131
716,1132
717,1250
717,1504
717,1767
721,2439
721,1061
722,3546
722,3109
724,3546
724,3109
725,3546
725,3109
727,3067
727,2275
727,2714
727,2240
727,2201
727,3398
727,2714
727,2816
727,1089
727,2240
727,1695
727,3525
727,1526
727,1695
727,1312
728,3546
728,3109
729,3546
729,3109
731,2402
731,1109
733,3524
733,2390
733,2214
733,1516
733,3737
733,1295
733,1787
733,3721
734,3546
734,3109
737,1806
737,1692
739,3264
739,1871
739,2253
739,2342
739,1220
740,1346
740,3264
740,1871
740,1220
741,3754
741,2043
741,1157
742,1621
742,3557
742,3438
744,1606
745,1160
745,1335
753,1289
758,1675
760,1696
760,1854
760,3198
760,1765
760,1297
760,1758
760,1854
760,1435
760,2694
760,1310
760,3909
760,1850
