id, ECLI, rechtbank, rechtsgebied, subrechtsgebied
437, ECLI:NL:HR:2020:1779, Bestuursrecht, Belastingrecht
438, ECLI:NL:GHDHA:2022:1652, Bestuursrecht, Belastingrecht
439, ECLI:NL:RVS:2014:3788, Bestuursrecht, 
440, ECLI:NL:CRVB:2019:2016, Bestuursrecht, Socialezekerheidsrecht
441, ECLI:NL:RBAMS:2022:7536, Strafrecht, Europees strafrecht
442, ECLI:NL:RVS:2015:3578, Bestuursrecht, 
443, ECLI:NL:RVS:2021:1421, Bestuursrecht, 
444, ECLI:NL:CRVB:2019:4127, Bestuursrecht, Socialezekerheidsrecht
445, ECLI:NL:RVS:2024:2904, Bestuursrecht, 
446, ECLI:NL:CRVB:1999:3, Bestuursrecht, Socialezekerheidsrecht
447, ECLI:NL:RVS:1996:ZF2153, Bestuursrecht, 
448, ECLI:NL:RVS:2024:177, Bestuursrecht, Vreemdelingenrecht
449, ECLI:NL:RVS:2014:3851, Bestuursrecht, 
450, ECLI:NL:CBB:2016:414, Bestuursrecht, 
451, ECLI:NL:RVS:2013:3389, Bestuursrecht, 
452, ECLI:NL:RVS:2018:2188, Bestuursrecht, 
453, ECLI:NL:CRVB:2019:1384, Bestuursrecht, Socialezekerheidsrecht
454, ECLI:NL:HR:2014:1523, Bestuursrecht, Belastingrecht
455, ECLI:NL:RVS:2021:114, Bestuursrecht, Vreemdelingenrecht
456, ECLI:NL:HR:2014:675, Civiel recht, Insolventierecht
457, ECLI:NL:HR:2020:202, Bestuursrecht, Belastingrecht
458, ECLI:NL:HR:1986:AC9354, Civiel recht, 
459, ECLI:NL:RVS:2021:1336, Bestuursrecht, 
460, ECLI:NL:CRVB:2011:BP1399, Bestuursrecht, Socialezekerheidsrecht
461, ECLI:NL:RVS:2024:2405, Bestuursrecht, 
462, ECLI:NL:GHAMS:2021:3807, Bestuursrecht, Belastingrecht
463, ECLI:NL:HR:2014:699, Bestuursrecht, Belastingrecht
464, ECLI:NL:RVS:2019:3672, Bestuursrecht, Vreemdelingenrecht
465, ECLI:NL:HR:2023:1266, Civiel recht, 
466, ECLI:NL:HR:2003:AE9049, Strafrecht, 
467, ECLI:NL:RVS:2015:2148, Bestuursrecht, 
468, ECLI:NL:RVS:2015:2567, Bestuursrecht, 
469, ECLI:NL:RVS:2017:968, Bestuursrecht, 
470, ECLI:NL:RVS:2015:1412, Bestuursrecht, 
471, ECLI:NL:CRVB:2016:4813, Bestuursrecht, Socialezekerheidsrecht
472, ECLI:NL:GHARL:2015:7059, Bestuursrecht, Belastingrecht
473, ECLI:NL:RVS:2020:2384, Bestuursrecht, 
474, ECLI:NL:OGHNAA:2005:BG0439, Bestuursrecht, 
475, ECLI:NL:CRVB:2011:BP5138, Bestuursrecht, Socialezekerheidsrecht
476, ECLI:NL:HR:2012:BW9243, Civiel recht, 
477, ECLI:NL:RVS:2016:1970, Bestuursrecht, 
478, ECLI:NL:CRVB:2022:2727, Bestuursrecht, Socialezekerheidsrecht
479, ECLI:NL:HR:2022:1526, Bestuursrecht, Belastingrecht
480, ECLI:NL:RVS:2025:5168, Bestuursrecht, Vreemdelingenrecht
481, ECLI:NL:HR:2005:AU8169, Bestuursrecht, Belastingrecht
482, ECLI:NL:RVS:2024:5388, Bestuursrecht, 
483, ECLI:NL:CRVB:2018:2288, Bestuursrecht, Ambtenarenrecht
484, ECLI:NL:HR:1992:ZC0707, Civiel recht, 
485, ECLI:NL:HR:1980:AC3465, Civiel recht, 
486, ECLI:NL:RVS:2018:3681, Bestuursrecht, 
487, ECLI:NL:RBNNE:2021:3179, Civiel recht, Personen- en familierecht
488, ECLI:NL:CRVB:2015:3155, Bestuursrecht, Socialezekerheidsrecht
489, ECLI:NL:HR:1996:ZC2063, Civiel recht, 
490, ECLI:NL:RVS:2017:2706, Bestuursrecht, Vreemdelingenrecht
491, ECLI:NL:HR:2014:1461, Bestuursrecht, Belastingrecht
492, ECLI:NL:RVS:2021:1111, Bestuursrecht, 
493, ECLI:NL:HR:2015:812, Bestuursrecht, Belastingrecht
494, ECLI:NL:RVS:2025:2935, Bestuursrecht, Vreemdelingenrecht
495, ECLI:NL:RVS:2019:1759, Bestuursrecht, 
496, ECLI:NL:RVS:2022:906, Bestuursrecht, Vreemdelingenrecht
497, ECLI:NL:RVS:2011:BU4547, Bestuursrecht, 
498, ECLI:NL:CRVB:2016:3399, Bestuursrecht, Socialezekerheidsrecht
499, ECLI:NL:HR:2023:1711, Bestuursrecht, Belastingrecht
500, ECLI:NL:PHR:2017:1051, Bestuursrecht, Belastingrecht
501, ECLI:NL:HR:2020:1726, Strafrecht, 
502, ECLI:NL:RBOBR:2022:415, Bestuursrecht, Socialezekerheidsrecht
503, ECLI:NL:RVS:2015:2462, Bestuursrecht, 
504, ECLI:NL:RVS:2019:213, Bestuursrecht, Vreemdelingenrecht
505, ECLI:NL:RBMNE:2021:5054, Civiel recht, Personen- en familierecht
506, ECLI:NL:PHR:2023:1069, Bestuursrecht, Belastingrecht
507, ECLI:NL:HR:2004:AO9069, Civiel recht, 
508, ECLI:NL:RVS:2016:2840, Bestuursrecht, 
509, ECLI:NL:RVS:2022:245, Bestuursrecht, Vreemdelingenrecht
510, ECLI:NL:RVS:2021:953, Bestuursrecht, Omgevingsrecht
511, ECLI:NL:CRVB:2009:BJ9223, Bestuursrecht, Socialezekerheidsrecht
512, ECLI:NL:RVS:2023:4038, Bestuursrecht, 
513, ECLI:NL:RVS:2014:188, Bestuursrecht, 
514, ECLI:NL:RVS:2013:BZ7446, Bestuursrecht, Omgevingsrecht
515, ECLI:NL:HR:2019:816, Bestuursrecht, Belastingrecht
516, ECLI:NL:HR:2019:2006, Civiel recht, 
517, ECLI:NL:GHARL:2022:10949, Civiel recht, 
518, ECLI:NL:RVS:2020:341, Bestuursrecht, Vreemdelingenrecht
519, ECLI:NL:RVS:2014:450, Bestuursrecht, 
520, ECLI:NL:HR:2011:BR0119, Civiel recht, 
521, ECLI:NL:HR:2007:BA0033, Civiel recht, 
522, ECLI:NL:HR:2020:323, Bestuursrecht, Belastingrecht
523, ECLI:NL:GHDHA:2023:1691, Bestuursrecht, Belastingrecht
524, ECLI:NL:RBAMS:2023:3417, Strafrecht, Europees strafrecht
525, ECLI:NL:CRVB:2022:250, Bestuursrecht, Socialezekerheidsrecht
526, ECLI:NL:CRVB:2022:2462, Bestuursrecht, Socialezekerheidsrecht
527, ECLI:NL:RVS:2024:2242, Bestuursrecht, 
528, ECLI:NL:RVS:2011:5176, Bestuursrecht, 
529, ECLI:NL:RVS:2010:BM9389, Bestuursrecht, 
530, ECLI:NL:HR:2024:1178, Bestuursrecht, Belastingrecht
531, ECLI:NL:HR:2010:BK3103, Bestuursrecht, Belastingrecht
532, ECLI:NL:RVS:2021:696, Bestuursrecht, Vreemdelingenrecht
533, ECLI:NL:RVS:2012:BV7254, Bestuursrecht, 
534, ECLI:NL:HR:2008:BE9080, Civiel recht, 
535, ECLI:NL:HR:2005:AU3929, Bestuursrecht, Belastingrecht
536, ECLI:NL:RVS:2024:1742, Bestuursrecht, Vreemdelingenrecht
537, ECLI:NL:CRVB:2008:BD2441, Bestuursrecht, Socialezekerheidsrecht
538, ECLI:NL:HR:2012:BR2342, Strafrecht, 
539, ECLI:NL:HR:2022:853, Civiel recht, Verbintenissenrecht
540, ECLI:NL:RVS:2009:BK5070, Bestuursrecht, 
541, ECLI:NL:TGZCTG:2018:274, Bestuursrecht, 
542, ECLI:NL:CRVB:2017:3543, Bestuursrecht, Ambtenarenrecht
543, ECLI:NL:CRvB:2011:BP9890, Bestuursrecht, Socialezekerheidsrecht
544, ECLI:NL:CRVB:2002:AF0902, Bestuursrecht, Socialezekerheidsrecht
545, ECLI:NL:HR:2009:BK0146, Civiel recht, 
546, ECLI:NL:HR:1998:AA2572, Bestuursrecht, Belastingrecht
547, ECLI:NL:HR:2015:3633, Civiel recht, Personen- en familierecht
548, ECLI:NL:HR:1995:ZC1859, Civiel recht, 
549, ECLI:NL:RVS:2011:BV3584, Bestuursrecht, Vreemdelingenrecht
550, ECLI:NL:RVS:2007:BB7332, Bestuursrecht, 
551, ECLI:NL:PHR:2018:616, Bestuursrecht, Belastingrecht
552, ECLI:NL:RVS:2019:1402, Bestuursrecht, Vreemdelingenrecht
553, ECLI:NL:HR:2016:2015, Civiel recht, 
554, ECLI:NL:HR:2016:482, Bestuursrecht, Belastingrecht
555, ECLI:NL:CRvB:2009:BK3717, Bestuursrecht, Socialezekerheidsrecht
556, ECLI:NL:CRVB:2015:4737, Bestuursrecht, Socialezekerheidsrecht
557, ECLI:NL:HR:1993:ZC1183, Civiel recht, 
558, ECLI:NL:CRVB:2021:2305, Bestuursrecht, Socialezekerheidsrecht
559, ECLI:NL:RBNNE:2024:3247, Bestuursrecht, 
560, ECLI:NL:HR:1988:ZC3883, Bestuursrecht, Belastingrecht
561, ECLI:NL:CRVB:2013:951, Bestuursrecht, Socialezekerheidsrecht
562, ECLI:NL:PHR:2018:1419, Bestuursrecht, Belastingrecht
563, ECLI:NL:HR:1992:ZC5032, Bestuursrecht, Belastingrecht
564, ECLI:NL:HR:2018:1935, Civiel recht, 
565, ECLI:NL:RVS:2018:1511, Bestuursrecht, Omgevingsrecht
566, ECLI:NL:HR:1999:ZC2993, Civiel recht, 
567, ECLI:NL:GHSHE:2024:699, Bestuursrecht, Belastingrecht
568, ECLI:NL:HR:2016:369, Civiel recht, 
569, ECLI:NL:RVS:2014:4413, Bestuursrecht, 
570, ECLI:NL:CRVB:2019:2019, Bestuursrecht, Socialezekerheidsrecht
571, ECLI:NL:HR:1978:AM4447, Bestuursrecht, Belastingrecht
572, ECLI:NL:GHARL:2020:7762, Bestuursrecht, Bestuursstrafrecht
573, ECLI:NL:CBB:2016:211, Bestuursrecht, 
574, ECLI:NL:RVS:2017:3628, Bestuursrecht, 
575, ECLI:NL:CRVB:2017:3059, Bestuursrecht, Socialezekerheidsrecht
576, ECLI:NL:GHARL:2019:10121, Bestuursrecht, Bestuursstrafrecht
577, ECLI:NL:RVS:2025:5144, Bestuursrecht, Vreemdelingenrecht
578, ECLI:NL:RBAMS:2021:3732, Civiel recht, 
579, ECLI:NL:CBB:2017:32, Bestuursrecht, 
580, ECLI:NL:RVS:2017:2327, Bestuursrecht, 
581, ECLI:NL:RVS:2018:1149, Bestuursrecht, 
582, ECLI:NL:HR:2016:2012, Civiel recht, 
583, ECLI:NL:HR:2017:3081, Bestuursrecht, Belastingrecht
584, ECLI:NL:HR:2020:1666, Bestuursrecht, Belastingrecht
585, ECLI:NL:RVS:2018:2010, Bestuursrecht, Omgevingsrecht
586, ECLI:NL:HR:1997:ZC2348, Civiel recht, 
587, ECLI:NL:RVS:2012:BV8773, Bestuursrecht, 
588, ECLI:NL:HR:1994:AD2076, Strafrecht, 
589, ECLI:NL:GHLEE:2011:BQ2772, Civiel recht, Personen- en familierecht
590, ECLI:NL:RVS:2021:2126, Bestuursrecht, 
591, ECLI:NL:HR:2000:AA6124, Bestuursrecht, Belastingrecht
592, ECLI:NL:GHDHA:2021:1873, Strafrecht, 
593, ECLI:NL:RVS:2017:1434, Bestuursrecht, Omgevingsrecht
594, ECLI:NL:CRVB:2022:1859, Bestuursrecht, Ambtenarenrecht
595, ECLI:NL:CRVB:2020:1652, Bestuursrecht, Socialezekerheidsrecht
596, ECLI:NL:RBNHO:2025:22, Bestuursrecht, Socialezekerheidsrecht
597, ECLI:NL:RVS:2018:3736, Bestuursrecht, Vreemdelingenrecht
598, ECLI:NL:HR:2011:BT2293, Bestuursrecht, Belastingrecht
599, ECLI:NL:RBAMS:2015:2111, Bestuursrecht, Socialezekerheidsrecht
600, ECLI:NL:GHARL:2024:866, Civiel recht, 
601, ECLI:NL:CRVB:2016:1943, Bestuursrecht, Socialezekerheidsrecht
602, ECLI:NL:RVS:2017:2058, Bestuursrecht, Vreemdelingenrecht
603, ECLI:NL:RVS:2023:3569, Bestuursrecht, Vreemdelingenrecht
604, ECLI:NL:RVS:2015:3767, Bestuursrecht, 
605, ECLI:NL:CRVB:2015:926, Bestuursrecht, Socialezekerheidsrecht
606, ECLI:NL:HR:2006:AX0985, Bestuursrecht, Belastingrecht
607, ECLI:NL:PHR:2021:1019, Bestuursrecht, Belastingrecht
608, ECLI:NL:HR:2019:376, Civiel recht, 
609, ECLI:NL:CRVB:2003:AO0764, Bestuursrecht, Socialezekerheidsrecht
610, ECLI:NL:RVS:2014:1841, Bestuursrecht, 
611, ECLI:NL:PHR:2016:339, Bestuursrecht, Belastingrecht
612, ECLI:NL:HR:2019:1734, Civiel recht, Arbeidsrecht
613, ECLI:NL:RBGEL:2018:4963, Civiel recht, 
614, ECLI:NL:HR:2019:1619, Bestuursrecht, Belastingrecht
615, ECLI:NL:HR:2000:AA6341, Civiel recht, Personen- en familierecht
616, ECLI:NL:GHARL:2019:7007, Bestuursrecht, Belastingrecht
617, ECLI:NL:RVS:2009:BH5553, Bestuursrecht, 
618, ECLI:NL:RVS:2015:160, Bestuursrecht, 
619, ECLI:NL:RBZWB:2025:91, Bestuursrecht, 
620, ECLI:NL:RVS:2020:2032, Bestuursrecht, 
621, ECLI:NL:GHARL:2018:10783, Civiel recht, 
622, ECLI:NL:HR:2021:537, Civiel recht, Arbeidsrecht
623, ECLI:NL:RBAMS:2025:4974, Strafrecht, Europees strafrecht
624, ECLI:NL:HR:2002:AD8186, Civiel recht, 
625, ECLI:NL:HR:2009:BJ0655, Civiel recht, 
626, ECLI:NL:RVS:2017:210, Bestuursrecht, Vreemdelingenrecht
627, ECLI:NL:RBZWB:2024:125, Bestuursrecht, 
628, ECLI:NL:RVS:2018:4195, Bestuursrecht, 
629, ECLI:NL:RVS:2016:2518, Bestuursrecht, Omgevingsrecht
630, ECLI:NL:RVS:2018:1066, Bestuursrecht, Omgevingsrecht
631, ECLI:NL:PHR:2023:1209, Bestuursrecht, Belastingrecht
632, ECLI:NL:RVS:2017:25, Bestuursrecht, 
633, ECLI:NL:RVS:2019:777, Bestuursrecht, 
634, ECLI:NL:GHARL:2021:1786, Bestuursrecht, Bestuursstrafrecht
635, ECLI:NL:HR:2012:BV7393, Bestuursrecht, Belastingrecht
636, ECLI:NL:CBB:2023:142, Bestuursrecht, 
637, ECLI:NL:RBROT:2025:2639, Bestuursrecht, 
638, ECLI:NL:HR:2014:2628, Civiel recht, 
639, ECLI:NL:HR:2017:3226, Bestuursrecht, Belastingrecht
640, ECLI:NL:RVS:2017:2553, Bestuursrecht, 
641, ECLI:NL:HR:2001:ZC3598, Civiel recht, Personen- en familierecht
642, ECLI:NL:CRVB:2012:BY4322, Bestuursrecht, Socialezekerheidsrecht
643, ECLI:NL:RVS:2018:4314, Bestuursrecht, Vreemdelingenrecht
644, ECLI:NL:RBAMS:2019:7000, Civiel recht, 
645, ECLI:NL:RVS:2014:3833, Bestuursrecht, Vreemdelingenrecht
646, ECLI:NL:RVS:2020:1541, Bestuursrecht, 
647, ECLI:NL:HR:2015:2795, Bestuursrecht, Belastingrecht
648, ECLI:NL:HR:2007:AZ5556, Bestuursrecht, Belastingrecht
649, ECLI:NL:RBDHA:2019:12133, Bestuursrecht, Vreemdelingenrecht
650, ECLI:NL:RVS:2023:1962, Bestuursrecht, Vreemdelingenrecht
651, ECLI:NL:CBB:2023:476, Bestuursrecht, 
652, ECLI:NL:HR:2007:AZ7772, Civiel recht, Personen- en familierecht
653, ECLI:NL:GHDHA:2022:657, Bestuursrecht, Belastingrecht
654, ECLI:NL:HR:2011:BQ7597, Bestuursrecht, Belastingrecht
655, ECLI:NL:CRVB:2018:114, Bestuursrecht, Socialezekerheidsrecht
656, ECLI:NL:HR:2017:584, Strafrecht, 
657, ECLI:NL:RVS:2020:1117, Bestuursrecht, 
658, ECLI:NL:CRVB:2013:1936, Bestuursrecht, Socialezekerheidsrecht
659, ECLI:NL:RVS:2020:2748, Bestuursrecht, 
660, ECLI:NL:RBDHA:2021:402, Bestuursrecht, Vreemdelingenrecht
661, ECLI:NL:CRVB:2018:3474, Bestuursrecht, Socialezekerheidsrecht
662, ECLI:NL:HR:2018:2363, Civiel recht, 
663, ECLI:NL:GHDHA:2022:2539, Bestuursrecht, Belastingrecht
664, ECLI:NL:RVS:2025:5158, Bestuursrecht, 
665, ECLI:NL:RVS:2019:990, Bestuursrecht, Vreemdelingenrecht
666, ECLI:NL:RVS:2017:2707, Bestuursrecht, Vreemdelingenrecht
667, ECLI:NL:RBLIM:2025:8509, Bestuursrecht, Vreemdelingenrecht
668, ECLI:NL:GHAMS:2021:392, Civiel recht, 
669, ECLI:NL:RVS:2018:1975, Bestuursrecht, Vreemdelingenrecht
670, ECLI:NL:RVS:2018:1200, Bestuursrecht, 
671, ECLI:NL:GHARL:2022:7778, Strafrecht, 
672, ECLI:NL:HR:2018:2080, Bestuursrecht, Belastingrecht
673, ECLI:NL:HR:2013:BZ9225, Civiel recht, 
674, ECLI:NL:HR:2011:BP8686, Civiel recht, 
675, ECLI:NL:HR:2022:752, Bestuursrecht, Belastingrecht
676, ECLI:NL:RVS:2017:1819, Bestuursrecht, Vreemdelingenrecht
677, ECLI:NL:HR:2004:AO6012, Civiel recht, 
678, ECLI:NL:RVS:2025:159, Bestuursrecht, Vreemdelingenrecht
679, ECLI:NL:GHARL:2021:9948, Strafrecht, Penitentiair strafrecht
680, ECLI:NL:HR:2013:BY5241, Civiel recht, 
681, ECLI:NL:GHAMS:2014:1523, Civiel recht, 
682, ECLI:NL:RVS:2025:5170, Bestuursrecht, Vreemdelingenrecht
683, ECLI:NL:RVS:2020:214, Bestuursrecht, 
684, ECLI:NL:RVS:2015:2842, Bestuursrecht, Omgevingsrecht
685, ECLI:NL:HR:2019:1783, Bestuursrecht, Belastingrecht
686, ECLI:NL:HR:2011:BP2138, Bestuursrecht, Belastingrecht
687, ECLI:NL:RVS:2012:BX2597, Bestuursrecht, 
688, ECLI:NL:HR:2014:3606, Bestuursrecht, Belastingrecht
689, ECLI:NL:RBMNE:2022:2386, Bestuursrecht, Socialezekerheidsrecht
690, ECLI:NL:GHDHA:2016:2737, Civiel recht, Personen- en familierecht
691, ECLI:NL:GHARL:2019:8307, Bestuursrecht, Bestuursstrafrecht
692, ECLI:NL:RVS:2021:369, Bestuursrecht, 
693, ECLI:NL:RVS:2023:4198, Bestuursrecht, Vreemdelingenrecht
694, ECLI:NL:RBDHA:2023:19744, Civiel recht, 
695, ECLI:NL:HR:2019:1787, Civiel recht, Burgerlijk procesrecht
696, ECLI:NL:RVS:2016:1439, Bestuursrecht, 
697, ECLI:NL:RBMNE:2023:1908, Bestuursrecht, Belastingrecht
698, ECLI:NL:RVS:2023:2641, Bestuursrecht, Vreemdelingenrecht
699, ECLI:NL:GHSHE:2007:BC3164, Bestuursrecht, Belastingrecht
700, ECLI:NL:GHARL:2013:2333, Bestuursrecht, Bestuursstrafrecht
701, ECLI:NL:HR:2007:BB4753, Bestuursrecht, Belastingrecht
702, ECLI:NL:RVS:2024:3940, Bestuursrecht, 
703, ECLI:NL:HR:1979:AB7302, Civiel recht, 
704, ECLI:NL:RVS:2025:258, Bestuursrecht, Vreemdelingenrecht
705, ECLI:NL:HR:2024:1913, Civiel recht, Insolventierecht
706, ECLI:NL:RVS:2022:1684, Bestuursrecht, 
707, ECLI:NL:RVS:2019:2738, Bestuursrecht, Vreemdelingenrecht
708, ECLI:NL:HR:2010:BM1236, Bestuursrecht, Belastingrecht
709, ECLI:NL:HR:2024:857, Bestuursrecht, Belastingrecht
710, ECLI:NL:GHARL:2022:8003, Civiel recht, Personen- en familierecht
711, ECLI:NL:RBNHO:2021:8413, Civiel recht, Personen- en familierecht
712, ECLI:NL:CBB:2019:192, Bestuursrecht, 
713, ECLI:NL:CRVB:2009:BK3713, Bestuursrecht, Socialezekerheidsrecht
714, ECLI:NL:GHARL:2021:10307, Bestuursrecht, Belastingrecht
715, ECLI:NL:CRVB:2024:726, Bestuursrecht, Socialezekerheidsrecht
716, ECLI:NL:RBDHA:2024:4394, Bestuursrecht, Vreemdelingenrecht
717, ECLI:NL:GHDHA:2024:1362, Civiel recht, Personen- en familierecht
718, ECLI:NL:CRVB:2020:2634, Bestuursrecht, Socialezekerheidsrecht
719, ECLI:NL:GHARL:2024:865, Civiel recht, 
720, ECLI:NL:HR:2015:960, Bestuursrecht, Belastingrecht
721, ECLI:NL:RVS:2013:875, Bestuursrecht, 
722, ECLI:NL:RVS:2020:2559, Bestuursrecht, 
723, ECLI:NL:HR:1999:AA4819, Civiel recht, Personen- en familierecht
724, ECLI:NL:HR:2018:1115, Civiel recht, 
725, ECLI:NL:HR:2023:1168, Bestuursrecht, Belastingrecht
726, ECLI:NL:RBAMS:2024:4047, Strafrecht, Europees strafrecht
727, ECLI:NL:RVS:2025:208, Bestuursrecht, 
728, ECLI:NL:RVS:2018:2619, Bestuursrecht, Omgevingsrecht
729, ECLI:NL:RBAMS:2018:294, Bestuursrecht, 
730, ECLI:NL:RVS:2023:1374, Bestuursrecht, 
731, ECLI:NL:RVS:2019:701, Bestuursrecht, Omgevingsrecht
732, ECLI:NL:RVS:2015:2109, Bestuursrecht, 
733, ECLI:NL:RVS:2022:3295, Bestuursrecht, 
734, ECLI:NL:GHARL:2024:5796, Bestuursrecht, Bestuursstrafrecht
735, ECLI:NL:HR:2017:293, Bestuursrecht, Belastingrecht
736, ECLI:NL:RVS:2019:1951, Bestuursrecht, 
737, ECLI:NL:HR:2019:505, Civiel recht, 
738, ECLI:NL:RBMNE:2023:4482, Bestuursrecht, 
739, ECLI:NL:GHARL:2017:3345, Bestuursrecht, Bestuursstrafrecht
740, ECLI:NL:HR:2013:2123, Civiel recht, 
741, ECLI:NL:RVS:2017:292, Bestuursrecht, Vreemdelingenrecht
742, ECLI:NL:RVS:2023:1242, Bestuursrecht, 
743, ECLI:NL:RBMNE:2023:4481, Bestuursrecht, 
744, ECLI:NL:GHDHA:2023:2776, Bestuursrecht, Belastingrecht
745, ECLI:NL:RBROT:2023:9694, Civiel recht, Insolventierecht
746, ECLI:NL:CRVB:2019:1548, Bestuursrecht, Socialezekerheidsrecht
747, ECLI:NL:HR:2020:809, Civiel recht, 
748, ECLI:NL:RBDHA:2022:3776, Bestuursrecht, Vreemdelingenrecht
749, ECLI:NL:RVS:2019:3980, Bestuursrecht, 
750, ECLI:NL:RVS:2022:1440, Bestuursrecht, Vreemdelingenrecht
751, ECLI:NL:CRVB:2023:952, Bestuursrecht, Socialezekerheidsrecht
752, ECLI:NL:GHAMS:2021:3978, Civiel recht, 
753, ECLI:NL:CRVB:2009:BK8306, Bestuursrecht, Socialezekerheidsrecht
754, ECLI:NL:GHSHE:2023:246, Bestuursrecht, Belastingrecht
755, ECLI:NL:GHSGR:1987:AC1600, Bestuursrecht, Belastingrecht
756, ECLI:NL:HR:1997:ZC2404, Civiel recht, 
757, ECLI:NL:RVS:2023:3874, Bestuursrecht, Vreemdelingenrecht
758, ECLI:NL:RVS:2021:1956, Bestuursrecht, 
759, ECLI:NL:RVS:2023:397, Bestuursrecht, 
760, ECLI:NL:HR:2007:BA8063, Bestuursrecht, Belastingrecht
761, ECLI:NL:HR:2002:AE4473, Bestuursrecht, Belastingrecht
762, ECLI:NL:RVS:2025:1202, Bestuursrecht, 
763, ECLI:NL:RVS:2021:1375, Bestuursrecht, 
764, ECLI:NL:RVS:2022:251, Bestuursrecht, 
765, ECLI:NL:HR:2024:1535, Bestuursrecht, Belastingrecht
766, ECLI:NL:PHR:2017:198, Bestuursrecht, Belastingrecht
767, ECLI:NL:HR:2003:AF7004, Civiel recht, 
768, ECLI:NL:HR:2008:BD2578, Strafrecht, 
769, ECLI:NL:RBOVE:2025:4, Bestuursrecht, Socialezekerheidsrecht
770, ECLI:NL:RVS:2021:2304, Bestuursrecht, Omgevingsrecht
771, ECLI:NL:GHARL:2022:2169, Civiel recht, 
772, ECLI:NL:RBDHA:2022:12538, Bestuursrecht, Vreemdelingenrecht
773, ECLI:NL:RVS:2015:1057, Bestuursrecht, 
774, ECLI:NL:HR:2002:AE0462, Bestuursrecht, Belastingrecht
775, ECLI:NL:GHSHE:2021:1269, Bestuursrecht, Belastingrecht
776, ECLI:NL:CRVB:2021:763, Bestuursrecht, Socialezekerheidsrecht
777, ECLI:NL:RBROT:2021:1096, Strafrecht, 
778, ECLI:NL:GHDHA:2023:1765, Bestuursrecht, Belastingrecht
779, ECLI:NL:RVS:2021:780, Bestuursrecht, 
780, ECLI:NL:CRVB:2017:3538, Bestuursrecht, Socialezekerheidsrecht
781, ECLI:NL:RVS:2024:2644, Bestuursrecht, Vreemdelingenrecht
782, ECLI:NL:RVS:2024:1424, Bestuursrecht, Vreemdelingenrecht
783, ECLI:NL:RVS:2019:1604, Bestuursrecht, 
784, ECLI:NL:CBB:2021:705, Bestuursrecht, 
785, ECLI:NL:CBB:2023:54, Bestuursrecht, 
786, ECLI:NL:HR:2009:BI3751, Bestuursrecht, Belastingrecht
787, ECLI:NL:HR:2016:1174, Strafrecht, 
788, ECLI:NL:CRVB:2023:95, Bestuursrecht, Socialezekerheidsrecht
789, ECLI:NL:CRVB:2019:37, Bestuursrecht, Socialezekerheidsrecht
790, ECLI:NL:RBGEL:2022:2004, Civiel recht, 
791, ECLI:NL:GHARL:2022:3651, Bestuursrecht, Belastingrecht
792, ECLI:NL:RBDHA:2024:8874, Bestuursrecht, Vreemdelingenrecht
793, ECLI:NL:CRVB:2012:BW5646, Bestuursrecht, Socialezekerheidsrecht
794, ECLI:NL:RVS:2018:585, Bestuursrecht, 
795, ECLI:NL:RVS:2021:2306, Bestuursrecht, Omgevingsrecht
796, ECLI:NL:RVS:2015:2388, Bestuursrecht, 
797, ECLI:NL:RVS:2019:1435, Bestuursrecht, 
798, ECLI:NL:RVS:2019:1436, Bestuursrecht, 
799, ECLI:NL:RVS:2019:830, Bestuursrecht, Vreemdelingenrecht
800, ECLI:NL:CBB:2020:995, Bestuursrecht, 
801, ECLI:NL:RVS:2018:1284, Bestuursrecht, Omgevingsrecht
802, ECLI:NL:HR:2011:BT8457, Civiel recht, 
803, ECLI:NL:CRVB:2022:1745, Bestuursrecht, Socialezekerheidsrecht
804, ECLI:NL:CRVB:2020:877, Bestuursrecht, Socialezekerheidsrecht
805, ECLI:NL:GHARL:2020:802, Strafrecht, 
806, ECLI:NL:RVS:2022:1810, Bestuursrecht, Vreemdelingenrecht
807, ECLI:NL:RVS:2023:3275, Bestuursrecht, Vreemdelingenrecht
808, ECLI:NL:RVS:2018:2643, Bestuursrecht, Omgevingsrecht
809, ECLI:NL:GHDHA:2022:53, Bestuursrecht, Belastingrecht
810, ECLI:NL:HR:2016:833, Bestuursrecht, Belastingrecht
811, ECLI:NL:RVS:2021:2346, Bestuursrecht, 
812, ECLI:NL:HR:2000:AA4728, Civiel recht, 
813, ECLI:NL:RVS:2013:BZ9048, Bestuursrecht, 
814, ECLI:NL:CRVB:2015:2822, Bestuursrecht, Socialezekerheidsrecht
815, ECLI:NL:RVS:2014:3480, Bestuursrecht, 
816, ECLI:NL:HR:1997:ZC2495, Civiel recht, 
817, ECLI:NL:RVS:2018:4131, Bestuursrecht, Vreemdelingenrecht
818, ECLI:NL:HR:2015:232, Civiel recht, Personen- en familierecht
819, ECLI:NL:HR:2023:1714, Bestuursrecht, Belastingrecht
820, ECLI:NL:RVS:2015:3447, Bestuursrecht, 
821, ECLI:NL:CRVB:2017:2437, Bestuursrecht, Socialezekerheidsrecht
822, ECLI:NL:HR:2011:BP6878, Strafrecht, 
823, ECLI:NL:RVS:2019:3536, Bestuursrecht, 
824, ECLI:NL:RVS:2022:2138, Bestuursrecht, 
825, ECLI:NL:RVS:2010:BL4570, Bestuursrecht, Vreemdelingenrecht
