id, ECLI, rechtsgebied, subrechtsgebied
2349, ECLI:NL:HR:1980:AC3465, Civiel recht, 
2350, ECLI:NL:RVS:2018:3681, Bestuursrecht, 
2351, ECLI:NL:RBNNE:2021:3179, Civiel recht, Personen- en familierecht
2352, ECLI:NL:CRVB:2015:3155, Bestuursrecht, Socialezekerheidsrecht
2353, ECLI:NL:HR:1996:ZC2063, Civiel recht, 
2354, ECLI:NL:RVS:2017:2706, Bestuursrecht, Vreemdelingenrecht
2355, ECLI:NL:HR:2014:1461, Bestuursrecht, Belastingrecht
2356, ECLI:NL:RVS:2021:1111, Bestuursrecht, 
2357, ECLI:NL:HR:2015:812, Bestuursrecht, Belastingrecht
2358, ECLI:NL:RVS:2025:2935, Bestuursrecht, Vreemdelingenrecht
2359, ECLI:NL:RVS:2019:1759, Bestuursrecht, 
2360, ECLI:NL:RVS:2022:906, Bestuursrecht, Vreemdelingenrecht
2361, ECLI:NL:RVS:2011:BU4547, Bestuursrecht, 
2362, ECLI:NL:CRVB:2016:3399, Bestuursrecht, Socialezekerheidsrecht
2363, ECLI:NL:HR:2023:1711, Bestuursrecht, Belastingrecht
2364, ECLI:NL:PHR:2017:1051, Bestuursrecht, Belastingrecht
2365, ECLI:NL:HR:2020:1726, Strafrecht, 
2366, ECLI:NL:RBOBR:2022:415, Bestuursrecht, Socialezekerheidsrecht
2367, ECLI:NL:RVS:2015:2462, Bestuursrecht, 
2368, ECLI:NL:RVS:2019:213, Bestuursrecht, Vreemdelingenrecht
2369, ECLI:NL:RBMNE:2021:5054, Civiel recht, Personen- en familierecht
2370, ECLI:NL:PHR:2023:1069, Bestuursrecht, Belastingrecht
2371, ECLI:NL:HR:2004:AO9069, Civiel recht, 
2372, ECLI:NL:RVS:2016:2840, Bestuursrecht, 
2373, ECLI:NL:RVS:2022:245, Bestuursrecht, Vreemdelingenrecht
2374, ECLI:NL:RVS:2021:953, Bestuursrecht, Omgevingsrecht
2375, ECLI:NL:CRVB:2009:BJ9223, Bestuursrecht, Socialezekerheidsrecht
2376, ECLI:NL:RVS:2023:4038, Bestuursrecht, 
2377, ECLI:NL:RVS:2014:188, Bestuursrecht, 
2378, ECLI:NL:RVS:2013:BZ7446, Bestuursrecht, Omgevingsrecht
2379, ECLI:NL:HR:2019:816, Bestuursrecht, Belastingrecht
2380, ECLI:NL:HR:2019:2006, Civiel recht, 
2381, ECLI:NL:GHARL:2022:10949, Civiel recht, 
2382, ECLI:NL:RVS:2020:341, Bestuursrecht, Vreemdelingenrecht
2383, ECLI:NL:RVS:2014:450, Bestuursrecht, 
2384, ECLI:NL:HR:2011:BR0119, Civiel recht, 
2385, ECLI:NL:HR:2007:BA0033, Civiel recht, 
2386, ECLI:NL:HR:2020:323, Bestuursrecht, Belastingrecht
