id, ECLI, rechtbank, rechtsgebied, subrechtsgebied
381, ECLI:NL:HR:1999:ZC2810, Civiel recht, 
382, ECLI:NL:RBGEL:2024:3780, Civiel recht, Arbeidsrecht
383, ECLI:NL:RVS:2025:159, Bestuursrecht, Vreemdelingenrecht
384, ECLI:NL:CRVB:2014:3159, Bestuursrecht, Socialezekerheidsrecht
385, ECLI:NL:RVS:2025:4130, Bestuursrecht, Vreemdelingenrecht
386, ECLI:NL:CRVB:2022:2727, Bestuursrecht, Socialezekerheidsrecht
387, ECLI:NL:GHARL:2018:5796, Bestuursrecht, Belastingrecht
388, ECLI:NL:HR:2008:BD1847, Civiel recht, 
389, ECLI:NL:HR:2020:1746, Civiel recht, 
390, ECLI:NL:HR:2018:1695, Bestuursrecht, Belastingrecht
391, ECLI:NL:RVS:2025:3817, Bestuursrecht, 
392, ECLI:NL:RVS:2025:2170, Bestuursrecht, 
393, ECLI:NL:HR:1989:ZC4179, Bestuursrecht, Belastingrecht
394, ECLI:NL:CRVB:2017:2019, Bestuursrecht, Socialezekerheidsrecht
395, ECLI:NL:CRVB:2021:2305, Bestuursrecht, Socialezekerheidsrecht
396, ECLI:NL:RBNHO:2021:3383, Bestuursrecht, Omgevingsrecht
397, ECLI:NL:HR:2013:30, Bestuursrecht, Belastingrecht
398, ECLI:NL:RBDHA:2023:17598, Bestuursrecht, Belastingrecht
399, ECLI:NL:RVS:2025:5275, Bestuursrecht, Vreemdelingenrecht
400, ECLI:NL:GHSHE:2024:3012, Bestuursrecht, Belastingrecht
401, ECLI:NL:GHARL:2024:7109, Bestuursrecht, Belastingrecht
402, ECLI:NL:RBAMS:2025:6326, Strafrecht, Europees strafrecht
403, ECLI:NL:HR:2016:724, Civiel recht, Personen- en familierecht
404, ECLI:NL:RBMNE:2023:4482, Bestuursrecht, 
405, ECLI:NL:RVS:2025:2337, Bestuursrecht, Vreemdelingenrecht
406, ECLI:NL:HR:2021:1024, Strafrecht, 
407, ECLI:NL:GHARL:2025:6116, Bestuursrecht, Bestuursstrafrecht
408, ECLI:NL:CRVB:2025:232, Bestuursrecht, Socialezekerheidsrecht
409, ECLI:NL:RBZWB:2023:2262, Bestuursrecht, Belastingrecht
410, ECLI:NL:RBLIM:2016:9373, Civiel recht, Personen- en familierecht
411, ECLI:NL:CRVB:2022:554, Bestuursrecht, Socialezekerheidsrecht
412, ECLI:NL:RVS:2025:3035, Bestuursrecht, 
413, ECLI:NL:HR:2022:1033, Bestuursrecht, Belastingrecht
414, ECLI:NL:HR:2020:318, Bestuursrecht, Belastingrecht
415, ECLI:NL:GHARL:2017:1777, Bestuursrecht, Bestuursstrafrecht
416, ECLI:NL:RVS:2025:5149, Bestuursrecht, Vreemdelingenrecht
417, ECLI:NL:HR:2024:1299, Bestuursrecht, Belastingrecht
418, ECLI:NL:RVS:2019:1637, Bestuursrecht, 
419, ECLI:NL:GHAMS:2022:1498, Civiel recht, 
420, ECLI:NL:GHARL:2023:6369, Bestuursrecht, Bestuursstrafrecht
421, ECLI:NL:GHDHA:2024:139, Bestuursrecht, Belastingrecht
422, ECLI:NL:GHAMS:2016:2070, Civiel recht, 
423, ECLI:NL:CRVB:2016:1896, Bestuursrecht, Socialezekerheidsrecht
424, ECLI:NL:HR:2000:AA6254, Bestuursrecht, Belastingrecht
425, ECLI:NL:RBDHA:2024:5774, Civiel recht, Personen- en familierecht
426, ECLI:NL:HR:2012:BW4102, Bestuursrecht, Belastingrecht
427, ECLI:NL:HR:2010:BL0990, Bestuursrecht, Belastingrecht
428, ECLI:NL:GHARL:2019:5060, Civiel recht, 
429, ECLI:NL:RVS:2025:5156, Bestuursrecht, Vreemdelingenrecht
430, ECLI:NL:HR:2013:BZ1782, Civiel recht, 
431, ECLI:NL:HR:1989:AD5725, Civiel recht, 
432, ECLI:NL:PHR:2018:41, Civiel recht, 
433, ECLI:NL:CRVB:2021:133, Bestuursrecht, Socialezekerheidsrecht
434, ECLI:NL:HR:2010:BK9136, Bestuursrecht, Belastingrecht
435, ECLI:NL:CRVB:2021:3124, Bestuursrecht, Ambtenarenrecht
436, ECLI:NL:HR:2016:833, Bestuursrecht, Belastingrecht
437, ECLI:NL:RVS:2020:2375, Bestuursrecht, Omgevingsrecht
438, ECLI:NL:HR:2014:3603, Bestuursrecht, Belastingrecht
439, ECLI:NL:CRVB:2023:2307, Bestuursrecht, Socialezekerheidsrecht
440, ECLI:NL:RVS:2023:292, Bestuursrecht, 
441, ECLI:NL:HR:2004:AQ7380, Civiel recht, Personen- en familierecht
442, ECLI:NL:GHARL:2015:65, Bestuursrecht, Bestuursstrafrecht
443, ECLI:NL:RVS:2002:AE7797, Bestuursrecht, 
444, ECLI:NL:HR:2018:1051, Strafrecht, 
445, ECLI:NL:GHARL:2024:1646, Civiel recht, 
446, ECLI:NL:RVS:2024:2662, Bestuursrecht, Vreemdelingenrecht
447, ECLI:NL:HR:2017:965, Bestuursrecht, Belastingrecht
448, ECLI:NL:RBDHA:2025:18092, Bestuursrecht, Vreemdelingenrecht
449, ECLI:NL:RVS:2021:2280, Bestuursrecht, 
450, ECLI:NL:CRVB:2023:951, Bestuursrecht, Socialezekerheidsrecht
451, ECLI:NL:GHDHA:2023:1451, Bestuursrecht, Belastingrecht
452, ECLI:NL:HR:2008:BD2578, Strafrecht, 
453, ECLI:NL:GHDHA:2021:1404, Bestuursrecht, Belastingrecht
454, ECLI:NL:HR:2014:777, Bestuursrecht, Belastingrecht
455, ECLI:NL:GHARL:2024:4173, Strafrecht, Strafprocesrecht
456, ECLI:NL:HR:2017:2411, Strafrecht, 
457, ECLI:NL:HR:2004:AO1501, Bestuursrecht, Belastingrecht
458, ECLI:NL:GHAMS:2022:1517, Bestuursrecht, Belastingrecht
459, ECLI:NL:HR:1995:ZC1911, Civiel recht, 
460, ECLI:NL:GHARL:2025:686, Civiel recht, 
461, ECLI:NL:HR:2020:2100, Civiel recht, Insolventierecht
462, ECLI:NL:HR:2017:3126, Bestuursrecht, Belastingrecht
463, ECLI:NL:HR:2019:1278, Civiel recht, 
464, ECLI:NL:HR:2019:1864, Civiel recht, Arbeidsrecht
465, ECLI:NL:HR:2014:2928, Civiel recht, 
466, ECLI:NL:CRVB:2022:2458, Bestuursrecht, Socialezekerheidsrecht
467, ECLI:NL:HR:2019:1779, Bestuursrecht, Belastingrecht
468, ECLI:NL:CRVB:2018:1113, Bestuursrecht, Socialezekerheidsrecht
469, ECLI:NL:HR:2018:695, Civiel recht, Personen- en familierecht
470, ECLI:NL:HR:2018:672, Bestuursrecht, Belastingrecht
471, ECLI:NL:RVS:2024:1429, Bestuursrecht, Vreemdelingenrecht
472, ECLI:NL:CRVB:2016:3224, Bestuursrecht, Ambtenarenrecht
473, ECLI:NL:HR:1998:ZC7050, Bestuursrecht, Belastingrecht
474, ECLI:NL:OGEAA:2025:121, Bestuursrecht, 
475, ECLI:NL:OGHACMB:2018:227, Bestuursrecht, 
476, ECLI:NL:HR:2020:323, Bestuursrecht, Belastingrecht
477, ECLI:NL:RVS:2018:4079, Bestuursrecht, Omgevingsrecht
478, ECLI:NL:RVS:2021:504, Bestuursrecht, Omgevingsrecht
479, ECLI:NL:RVS:2025:5167, Bestuursrecht, Vreemdelingenrecht
480, ECLI:NL:RBAMS:2025:5819, Strafrecht, 
481, ECLI:NL:OGEABES:2023:10, Civiel recht, 
482, ECLI:NL:GHDHA:2020:2347, Strafrecht, 
483, ECLI:NL:HR:2023:1052, Bestuursrecht, Belastingrecht
484, ECLI:NL:RVS:2020:1075, Bestuursrecht, 
485, ECLI:NL:RVS:2023:411, Bestuursrecht, 
486, ECLI:NL:HR:2018:846, Bestuursrecht, Belastingrecht
487, ECLI:NL:RVS:2024:4923, Bestuursrecht, 
488, ECLI:NL:RBMNE:2024:221, Bestuursrecht, Belastingrecht
489, ECLI:NL:HR:2023:1531, Civiel recht, 
490, ECLI:NL:HR:2023:1622, Civiel recht, 
491, ECLI:NL:RVS:2023:4100, Bestuursrecht, Vreemdelingenrecht
492, ECLI:NL:RVS:2016:3131, Bestuursrecht, 
493, ECLI:NL:GHARL:2024:7125, Bestuursrecht, Belastingrecht
494, ECLI:NL:HR:2008:BD0191, Bestuursrecht, Belastingrecht
495, ECLI:NL:RVS:2025:3623, Bestuursrecht, Vreemdelingenrecht
496, ECLI:NL:CRVB:2014:1850, Bestuursrecht, Socialezekerheidsrecht
497, ECLI:NL:CRVB:2009:BH1009, Bestuursrecht, Socialezekerheidsrecht
498, ECLI:NL:GHDHA:2022:2639, Bestuursrecht, Belastingrecht
499, ECLI:NL:CBB:2024:34, Bestuursrecht, 
500, ECLI:NL:HR:2024:567, Bestuursrecht, Belastingrecht
501, ECLI:NL:RBDHA:2025:5452, Bestuursrecht, Socialezekerheidsrecht
502, ECLI:NL:RVS:2021:2277, Bestuursrecht, 
503, ECLI:NL:HR:2002:AE9354, Bestuursrecht, Belastingrecht
504, ECLI:NL:CRVB:2013:BZ9827, Bestuursrecht, Socialezekerheidsrecht
505, ECLI:NL:HR:2020:820, Bestuursrecht, Belastingrecht
506, ECLI:NL:HR:1993:ZC5412, Bestuursrecht, Belastingrecht
507, ECLI:NL:GHARL:2024:889, Bestuursrecht, Belastingrecht
508, ECLI:NL:HR:2024:1879, Bestuursrecht, Belastingrecht
509, ECLI:NL:RVS:2025:2297, Bestuursrecht, 
510, ECLI:NL:RVS:2024:4909, Bestuursrecht, 
511, ECLI:NL:CRVB:2023:2290, Bestuursrecht, Socialezekerheidsrecht
512, ECLI:NL:XX:2006:AW8901, Bestuursrecht, Socialezekerheidsrecht
513, ECLI:NL:HR:2023:409, Civiel recht, Ondernemingsrecht
514, ECLI:NL:RVS:2022:1764, Bestuursrecht, Vreemdelingenrecht
515, ECLI:NL:RVS:2023:4531, Bestuursrecht, 
516, ECLI:NL:CRVB:2024:2416, Bestuursrecht, Socialezekerheidsrecht
517, ECLI:NL:HR:2009:BI6319, Civiel recht, 
518, ECLI:NL:RBDHA:2025:14846, Bestuursrecht, Vreemdelingenrecht
519, ECLI:NL:HR:2018:470, Civiel recht, 
520, ECLI:NL:GHDHA:2022:834, Civiel recht, 
521, ECLI:NL:RVS:2022:1137, Bestuursrecht, 
522, ECLI:NL:HR:2023:175, Bestuursrecht, Belastingrecht
523, ECLI:NL:RVS:2025:2999, Bestuursrecht, 
524, ECLI:NL:HR:2023:1093, Bestuursrecht, Belastingrecht
525, ECLI:NL:HR:1999:AA2710, Bestuursrecht, Belastingrecht
526, ECLI:NL:GHARL:2025:591, Bestuursrecht, Belastingrecht
527, ECLI:NL:HR:2006:AW4068, Bestuursrecht, Belastingrecht
528, ECLI:NL:RVS:2016:1418, Bestuursrecht, 
529, ECLI:NL:HR:2024:515, Bestuursrecht, Belastingrecht
530, ECLI:NL:RVS:2019:3600, Bestuursrecht, Vreemdelingenrecht
531, ECLI:NL:RVS:2015:2080, Bestuursrecht, 
532, ECLI:NL:HR:2010:BL7954, Bestuursrecht, Belastingrecht
533, ECLI:NL:RVS:2022:1040, Bestuursrecht, Vreemdelingenrecht
534, ECLI:NL:HR:2018:505, Bestuursrecht, Belastingrecht
535, ECLI:NL:HR:1992:ZC5139, Bestuursrecht, Belastingrecht
536, ECLI:NL:RVS:2018:3769, Bestuursrecht, Vreemdelingenrecht
537, ECLI:NL:HR:2013:BY9084, Civiel recht, 
538, ECLI:NL:HR:2016:2012, Civiel recht, 
539, ECLI:NL:HR:2003:AF3283, Bestuursrecht, Belastingrecht
540, ECLI:NL:RBAMS:2022:1793, Strafrecht, 
541, ECLI:NL:RVS:2024:1812, Bestuursrecht, Vreemdelingenrecht
542, ECLI:NL:HR:2025:670, Bestuursrecht, Belastingrecht
543, ECLI:NL:RVS:2008:BD3121, Bestuursrecht, 
544, ECLI:NL:HR:2016:1203, Bestuursrecht, Belastingrecht
545, ECLI:NL:HR:2024:705, Bestuursrecht, Belastingrecht
546, ECLI:NL:HR:2020:1448, Bestuursrecht, Belastingrecht
547, ECLI:NL:PHR:2024:1279, Internationaal publiekrecht, 
548, ECLI:NL:RVS:2024:420, Bestuursrecht, Vreemdelingenrecht
549, ECLI:NL:HR:2019:623, Bestuursrecht, Belastingrecht
550, ECLI:NL:RVS:2019:1061, Bestuursrecht, Vreemdelingenrecht
551, ECLI:NL:RVS:2025:2865, Bestuursrecht, Vreemdelingenrecht
552, ECLI:NL:RBDHA:2025:18663, Bestuursrecht, Vreemdelingenrecht
553, ECLI:NL:RVS:2023:2829, Bestuursrecht, Vreemdelingenrecht
554, ECLI:NL:RVS:2014:188, Bestuursrecht, 
555, ECLI:NL:RVS:2019:1694, Bestuursrecht, 
556, ECLI:NL:RVS:2024:2265, Bestuursrecht, Vreemdelingenrecht
557, ECLI:NL:GHDHA:2024:1638, Bestuursrecht, Belastingrecht
558, ECLI:NL:HR:2005:AR0220, Civiel recht, 
559, ECLI:NL:HR:2015:688, Civiel recht, Personen- en familierecht
560, ECLI:NL:GHAMS:2019:4294, Civiel recht, 
561, ECLI:NL:RBDHA:2025:6038, Bestuursrecht, Vreemdelingenrecht
562, ECLI:NL:HR:2007:AZ4162, Civiel recht, Personen- en familierecht
563, ECLI:NL:HR:2017:164, Civiel recht, 
564, ECLI:NL:CRVB:2017:960, Bestuursrecht, Ambtenarenrecht
565, ECLI:NL:RVS:2013:2558, Bestuursrecht, Vreemdelingenrecht
566, ECLI:NL:HR:2021:1086, Bestuursrecht, Belastingrecht
567, ECLI:NL:GHDHA:2019:2800, Civiel recht, Verbintenissenrecht
568, ECLI:NL:RBNNE:2024:4361, Bestuursrecht, Belastingrecht
569, ECLI:NL:CRVB:2017:3059, Bestuursrecht, Socialezekerheidsrecht
570, ECLI:NL:HR:2023:428, Civiel recht, 
571, ECLI:NL:HR:2017:1326, Bestuursrecht, Belastingrecht
572, ECLI:NL:GHARL:2024:7764, Bestuursrecht, Bestuursstrafrecht
573, ECLI:NL:RVS:2025:5161, Bestuursrecht, 
574, ECLI:NL:CRVB:2016:4255, Bestuursrecht, Socialezekerheidsrecht
575, ECLI:NL:HR:2018:270, Civiel recht, 
576, ECLI:NL:GHARL:2024:4958, Strafrecht, Strafprocesrecht
577, ECLI:NL:GHARL:2021:9176, Bestuursrecht, Belastingrecht
578, ECLI:NL:HR:2013:CA3878, Bestuursrecht, Belastingrecht
579, ECLI:NL:HR:2024:1297, Bestuursrecht, Belastingrecht
580, ECLI:NL:RVS:2025:1201, Bestuursrecht, 
581, ECLI:NL:GHAMS:2014:1135, Civiel recht, 
582, ECLI:NL:RVS:2022:998, Bestuursrecht, Omgevingsrecht
583, ECLI:NL:RVS:2024:2034, Bestuursrecht, 
584, ECLI:NL:HR:2023:444, Bestuursrecht, Belastingrecht
585, ECLI:NL:HR:2023:443, Civiel recht, 
586, ECLI:NL:RVS:2022:1767, Bestuursrecht, 
587, ECLI:NL:GHDHA:2023:1592, Bestuursrecht, Belastingrecht
588, ECLI:NL:HR:2022:1273, Bestuursrecht, Belastingrecht
589, ECLI:NL:GHSHE:2021:3315, Bestuursrecht, Belastingrecht
590, ECLI:NL:GHAMS:2025:379, Civiel recht, 
591, ECLI:NL:CRVB:2014:1161, Bestuursrecht, Socialezekerheidsrecht
592, ECLI:NL:RBROT:2023:12183, Bestuursrecht, Bestuursprocesrecht
593, ECLI:NL:RBDHA:2025:15824, Bestuursrecht, Vreemdelingenrecht
594, ECLI:NL:RVS:2021:452, Bestuursrecht, 
595, ECLI:NL:RVS:2025:2922, Bestuursrecht, 
596, ECLI:NL:RBGEL:2019:1050, Bestuursrecht, Belastingrecht
597, ECLI:NL:RBROT:2025:8351, Strafrecht, 
598, ECLI:NL:GHARL:2025:3014, Civiel recht, Personen- en familierecht
599, ECLI:NL:HR:2019:1579, Bestuursrecht, Belastingrecht
600, ECLI:NL:RVS:2024:4621, Bestuursrecht, Omgevingsrecht
601, ECLI:NL:HR:2020:331, Bestuursrecht, Belastingrecht
602, ECLI:NL:HR:2011:BT2299, Bestuursrecht, Belastingrecht
603, ECLI:NL:CRVB:2024:726, Bestuursrecht, Socialezekerheidsrecht
604, ECLI:NL:CRVB:2009:BK3717, Bestuursrecht, Socialezekerheidsrecht
605, ECLI:NL:RVS:2023:3465, Bestuursrecht, Omgevingsrecht
606, ECLI:NL:HR:2019:2026, Civiel recht, Burgerlijk procesrecht
607, ECLI:NL:RBMNE:2022:5129, Bestuursrecht, Belastingrecht
608, ECLI:NL:RBLIM:2025:8509, Bestuursrecht, Vreemdelingenrecht
609, ECLI:NL:HR:2011:BP4003, Civiel recht, 
610, ECLI:NL:HR:2015:1198, Civiel recht, 
611, ECLI:NL:RVS:2024:3427, Bestuursrecht, Vreemdelingenrecht
612, ECLI:NL:HR:2016:752, Bestuursrecht, Belastingrecht
613, ECLI:NL:RVS:2018:3120, Bestuursrecht, 
614, ECLI:NL:CRVB:2025:1011, Bestuursrecht, Socialezekerheidsrecht
615, ECLI:NL:HR:2016:124, Bestuursrecht, Belastingrecht
616, ECLI:NL:GHARL:2023:4177, Civiel recht, 
617, ECLI:NL:RVS:2024:4649, Bestuursrecht, Vreemdelingenrecht
618, ECLI:NL:RVS:2023:506, Bestuursrecht, Vreemdelingenrecht
619, ECLI:NL:HR:2024:147, Bestuursrecht, Belastingrecht
620, ECLI:NL:CBB:2022:433, Bestuursrecht, 
621, ECLI:NL:CRVB:2025:749, Bestuursrecht, Socialezekerheidsrecht
622, ECLI:NL:HR:2021:1963, Bestuursrecht, Belastingrecht
623, ECLI:NL:RBDHA:2024:10832, Civiel recht, 
624, ECLI:NL:GHARL:2021:3383, Bestuursrecht, Bestuursstrafrecht
625, ECLI:NL:RBNNE:2022:1226, Strafrecht, 
626, ECLI:NL:HR:2021:1111, Civiel recht, 
627, ECLI:NL:HR:2021:1677, Civiel recht, 
628, ECLI:NL:PHR:2024:1116, Bestuursrecht, Belastingrecht
629, ECLI:NL:HR:2011:BP3887, Bestuursrecht, Belastingrecht
630, ECLI:NL:HR:2008:BF9110, Bestuursrecht, Belastingrecht
631, ECLI:NL:RVS:2025:258, Bestuursrecht, Vreemdelingenrecht
632, ECLI:NL:HR:2020:1148, Civiel recht, 
633, ECLI:NL:GHARL:2025:2912, Bestuursrecht, Bestuursstrafrecht
634, ECLI:NL:HR:2002:AE4473, Bestuursrecht, Belastingrecht
635, ECLI:NL:HR:2025:106, Bestuursrecht, Belastingrecht
636, ECLI:NL:RVS:2025:3171, Bestuursrecht, Vreemdelingenrecht
637, ECLI:NL:RVS:2025:5248, Bestuursrecht, Vreemdelingenrecht
638, ECLI:NL:RVS:2025:5168, Bestuursrecht, Vreemdelingenrecht
639, ECLI:NL:CRVB:2018:3054, Bestuursrecht, Socialezekerheidsrecht
640, ECLI:NL:RBHAA:2009:BJ3060, Civiel recht, 
641, ECLI:NL:HR:2019:1016, Bestuursrecht, Belastingrecht
642, ECLI:NL:CRVB:2025:1403, Bestuursrecht, Socialezekerheidsrecht
643, ECLI:NL:HR:1996:AA1946, Bestuursrecht, Belastingrecht
644, ECLI:NL:HR:2014:2838, Civiel recht, 
645, ECLI:NL:RVS:2025:3148, Bestuursrecht, Vreemdelingenrecht
646, ECLI:NL:RVS:2020:3156, Bestuursrecht, 
647, ECLI:NL:HR:1995:ZC1631, Civiel recht, 
648, ECLI:NL:HR:2018:1413, Strafrecht, 
649, ECLI:NL:HR:2013:1881, Civiel recht, 
650, ECLI:NL:HR:2017:939, Civiel recht, 
651, ECLI:NL:CRVB:2008:BC3264, Bestuursrecht, Socialezekerheidsrecht
652, ECLI:NL:RVS:2024:1106, Bestuursrecht, Vreemdelingenrecht
653, ECLI:NL:HR:2012:BR2342, Strafrecht, 
654, ECLI:NL:GHDHA:2024:732, Bestuursrecht, Belastingrecht
655, ECLI:NL:HR:2014:1461, Bestuursrecht, Belastingrecht
656, ECLI:NL:GHARL:2023:6930, Bestuursrecht, Bestuursstrafrecht
657, ECLI:NL:CRVB:2015:1450, Bestuursrecht, Socialezekerheidsrecht
658, ECLI:NL:RVS:2024:4037, Bestuursrecht, Vreemdelingenrecht
659, ECLI:NL:HR:2008:BA3823, Bestuursrecht, Belastingrecht
660, ECLI:NL:RVS:2025:1028, Bestuursrecht, 
661, ECLI:NL:GHSHE:2024:701, Bestuursrecht, Belastingrecht
662, ECLI:NL:RVS:2025:5150, Bestuursrecht, Vreemdelingenrecht
663, ECLI:NL:RBSGR:2008:BC6856, Bestuursrecht, Belastingrecht
664, ECLI:NL:RVS:2024:2817, Bestuursrecht, 
665, ECLI:NL:RVS:2025:5144, Bestuursrecht, Vreemdelingenrecht
666, ECLI:NL:RBROT:2024:3227, Civiel recht, Burgerlijk procesrecht
667, ECLI:NL:HR:2003:AL6962, Bestuursrecht, Belastingrecht
668, ECLI:NL:RVS:2024:478, Bestuursrecht, Vreemdelingenrecht
669, ECLI:NL:HR:2022:63, Civiel recht, Arbeidsrecht
670, ECLI:NL:HR:2022:1058, Civiel recht, Verbintenissenrecht
671, ECLI:NL:GHARL:2024:5796, Bestuursrecht, Bestuursstrafrecht
672, ECLI:NL:RVS:2025:1704, Bestuursrecht, 
673, ECLI:NL:RVS:2024:585, Bestuursrecht, Vreemdelingenrecht
674, ECLI:NL:HR:2022:1277, Bestuursrecht, Belastingrecht
675, ECLI:NL:HR:2008:BC5901, Civiel recht, Personen- en familierecht
676, ECLI:NL:RVS:2025:789, Bestuursrecht, Vreemdelingenrecht
677, ECLI:NL:GHSHE:2024:1077, Strafrecht, 
678, ECLI:NL:RVS:2025:5158, Bestuursrecht, 
679, ECLI:NL:GHARL:2020:720, Civiel recht, Personen- en familierecht
680, ECLI:NL:RVS:2021:1421, Bestuursrecht, 
681, ECLI:NL:RVS:2012:BV8631, Bestuursrecht, Vreemdelingenrecht
682, ECLI:NL:GHAMS:2017:5500, Bestuursrecht, Belastingrecht
683, ECLI:NL:GHARL:2017:6605, Civiel recht, 
684, ECLI:NL:HR:2002:AD9609, Civiel recht, 
685, ECLI:NL:RVS:2023:1663, Bestuursrecht, Omgevingsrecht
686, ECLI:NL:RVS:2020:1117, Bestuursrecht, 
687, ECLI:NL:GHARL:2015:7009, Bestuursrecht, Bestuursprocesrecht
688, ECLI:NL:HR:2021:1748, Bestuursrecht, Belastingrecht
689, ECLI:NL:RVS:2024:47, Bestuursrecht, Omgevingsrecht
690, ECLI:NL:HR:2004:AO5822, Strafrecht, 
691, ECLI:NL:GHAMS:2024:1370, Bestuursrecht, Belastingrecht
692, ECLI:NL:HR:2017:1187, Civiel recht, 
693, ECLI:NL:RVS:2010:BP0428, Bestuursrecht, Vreemdelingenrecht
694, ECLI:NL:HR:2013:BX7184, Bestuursrecht, Belastingrecht
695, ECLI:NL:GHDHA:2025:208, Bestuursrecht, Belastingrecht
696, ECLI:NL:CRVB:2019:1783, Bestuursrecht, Ambtenarenrecht
697, ECLI:NL:HR:2023:964, Civiel recht, 
698, ECLI:NL:HR:2024:653, Bestuursrecht, Belastingrecht
699, ECLI:NL:HR:2017:290, Bestuursrecht, Belastingrecht
700, ECLI:NL:RVS:2022:400, Bestuursrecht, 
701, ECLI:NL:CRVB:2021:1929, Bestuursrecht, Socialezekerheidsrecht
702, ECLI:NL:HR:2009:BD3566, Bestuursrecht, Belastingrecht
703, ECLI:NL:RVS:2021:1205, Bestuursrecht, 
704, ECLI:NL:HR:2024:773, Bestuursrecht, Belastingrecht
705, ECLI:NL:HR:2024:571, Bestuursrecht, Belastingrecht
706, ECLI:NL:RVS:2004:AQ5770, Bestuursrecht, Omgevingsrecht
707, ECLI:NL:HR:2002:AD4925, Civiel recht, 
708, ECLI:NL:HR:2019:1020, Bestuursrecht, Belastingrecht
709, ECLI:NL:CRVB:2022:2462, Bestuursrecht, Socialezekerheidsrecht
710, ECLI:NL:HR:2003:AF6486, Bestuursrecht, Belastingrecht
711, ECLI:NL:GHDHA:2023:2043, Bestuursrecht, Belastingrecht
712, ECLI:NL:TNORARL:2024:22, Bestuursrecht, Belastingrecht
713, ECLI:NL:HR:2024:492, Strafrecht, 
714, ECLI:NL:HR:2023:1271, Bestuursrecht, Belastingrecht
715, ECLI:NL:RBDHA:2021:13948, Civiel recht, Personen- en familierecht
716, ECLI:NL:RVS:2020:1954, Bestuursrecht, Omgevingsrecht
717, ECLI:NL:RVS:2023:4348, Bestuursrecht, Vreemdelingenrecht
718, ECLI:NL:CBB:2024:32, Bestuursrecht, 
719, ECLI:NL:CBB:2023:54, Bestuursrecht, 
720, ECLI:NL:HR:2013:2127, Civiel recht, 
721, ECLI:NL:RVS:2025:1827, Bestuursrecht, Vreemdelingenrecht
722, ECLI:NL:RVS:2024:5355, Bestuursrecht, Vreemdelingenrecht
723, ECLI:NL:HR:1985:AW8220, Bestuursrecht, Vreemdelingenrecht
724, ECLI:NL:CRVB:2014:398, Bestuursrecht, Socialezekerheidsrecht
725, ECLI:NL:HR:2013:BX9407, Strafrecht, 
726, ECLI:NL:CRVB:2025:700, Bestuursrecht, Socialezekerheidsrecht
727, ECLI:NL:HR:1997:ZC2389, Civiel recht, 
728, ECLI:NL:HR:1996:ZC2201, Civiel recht, 
729, ECLI:NL:RVS:2022:641, Bestuursrecht, Omgevingsrecht
730, ECLI:NL:HR:2025:212, Strafrecht, 
731, ECLI:NL:HR:2015:3636, Civiel recht, Insolventierecht
732, ECLI:NL:HR:1997:ZC2384, Civiel recht, 
733, ECLI:NL:HR:2024:1913, Civiel recht, Insolventierecht
734, ECLI:NL:HR:1999:AA2756, Bestuursrecht, Belastingrecht
735, ECLI:NL:RVS:2023:180, Bestuursrecht, Omgevingsrecht
736, ECLI:NL:HR:2018:2352, Strafrecht, 
737, ECLI:NL:HR:1995:ZC1853, Civiel recht, 
738, ECLI:NL:RBROT:2025:10993, Bestuursrecht, 
739, ECLI:NL:CRVB:2024:2153, Bestuursrecht, Socialezekerheidsrecht
740, ECLI:NL:RVS:2025:4560, Bestuursrecht, Omgevingsrecht
741, ECLI:NL:CRVB:2024:2193, Bestuursrecht, Socialezekerheidsrecht
742, ECLI:NL:RBROT:2025:2639, Bestuursrecht, 
743, ECLI:NL:HR:2023:1265, Civiel recht, 
744, ECLI:NL:CBB:2024:31, Bestuursrecht, 
745, ECLI:NL:HR:2025:1165, Civiel recht, Personen- en familierecht
746, ECLI:NL:RVS:2023:484, Bestuursrecht, 
747, ECLI:NL:RVS:2019:46, Bestuursrecht, 
748, ECLI:NL:RVS:2024:4661, Bestuursrecht, Vreemdelingenrecht
749, ECLI:NL:PHR:2023:1042, Bestuursrecht, Belastingrecht
750, ECLI:NL:RBDHA:2025:2977, Bestuursrecht, Vreemdelingenrecht
751, ECLI:NL:HR:2018:2405, Bestuursrecht, Belastingrecht
752, ECLI:NL:CRVB:2015:1654, Bestuursrecht, Socialezekerheidsrecht
753, ECLI:NL:CRVB:2015:3361, Bestuursrecht, Socialezekerheidsrecht
754, ECLI:NL:CRVB:2020:1882, Bestuursrecht, Socialezekerheidsrecht
755, ECLI:NL:RBDHA:2021:3432, Civiel recht, Arbeidsrecht
756, ECLI:NL:CRVB:2024:635, Bestuursrecht, Socialezekerheidsrecht
757, ECLI:NL:HR:1990:ZC4441, Bestuursrecht, Belastingrecht
758, ECLI:NL:CRVB:2006:AV2020, Bestuursrecht, Socialezekerheidsrecht
759, ECLI:NL:GHARL:2025:5551, Bestuursrecht, Bestuursstrafrecht
760, ECLI:NL:HR:2004:AQ3810, Civiel recht, 
761, ECLI:NL:HR:2021:1360, Civiel recht, 
762, ECLI:NL:HR:2009:BJ7810, Strafrecht, 
763, ECLI:NL:RVS:2014:4682, Bestuursrecht, 
764, ECLI:NL:RBROT:2024:12676, Bestuursrecht, Bestuursprocesrecht
765, ECLI:NL:CRVB:2018:925, Bestuursrecht, Ambtenarenrecht
